msec,force_x,force_y,force_z,force_T_x,force_T_y,force_T_z,foot_loc_x,foot_loc_y,foot_loc_z
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.090000,0.000000
2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.080000,0.000000
3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.070000,0.000000
4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.060000,0.000000
5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.050000,0.000000
6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.040000,0.000000
7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.030000,0.000000
8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.020000,0.000000
9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.010000,0.000000
10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.000000
11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.990000,0.000000
12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.980000,0.000000
13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.970000,0.000000
14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.960000,0.000000
15.000000,-0.000000,-0.000217,0.000000,0.000000,0.000000,0.000000,0.000000,24.950000,0.000000
16.000000,0.000000,-0.000531,0.000000,0.000000,0.000000,0.000000,0.000000,24.940000,0.000000
17.000000,-0.000000,-0.000917,0.000000,0.000000,0.000000,0.000000,0.000000,24.930000,0.000000
18.000000,-0.000000,-0.001360,0.000000,0.000000,0.000000,0.000000,0.000000,24.920000,0.000000
19.000000,-0.000000,-0.001848,0.000000,0.000000,0.000000,0.000000,0.000000,24.910000,0.000000
20.000000,-0.000000,-0.002373,0.000000,0.000000,0.000000,0.000000,0.000000,24.900000,0.000000
21.000000,-0.000000,-0.002929,0.000000,0.000000,0.000000,0.000000,0.000000,24.890000,0.000000
22.000000,-0.000000,-0.003511,0.000000,0.000000,0.000000,0.000000,0.000000,24.880000,0.000000
22.999999,-0.000000,-0.004114,0.000000,0.000000,0.000000,0.000000,0.000000,24.870000,0.000000
23.999999,-0.000000,-0.004735,0.000000,0.000000,0.000000,0.000000,0.000000,24.860000,0.000000
24.999999,-0.000000,-0.005371,0.000000,0.000000,0.000000,0.000000,0.000000,24.850000,0.000000
25.999999,-0.000000,-0.006019,0.000000,0.000000,0.000000,0.000000,0.000000,24.840000,0.000000
26.999999,-0.000000,-0.006678,0.000000,0.000000,0.000000,0.000000,0.000000,24.830000,0.000000
27.999999,-0.000000,-0.007345,0.000000,0.000000,0.000000,0.000000,0.000000,24.820000,0.000000
28.999999,-0.000000,-0.008020,0.000000,0.000000,0.000000,0.000000,0.000000,24.810000,0.000000
29.999999,-0.000000,-0.008700,0.000000,0.000000,0.000000,0.000000,0.000000,24.800000,0.000000
30.999999,0.000000,-0.009950,0.000000,0.000000,0.000000,0.000000,0.000000,24.790000,0.000000
31.999999,0.000000,-0.012117,-0.000000,0.000000,0.000000,0.000000,0.000000,24.780000,0.000000
32.999999,0.000000,-0.014671,-0.000000,0.000000,0.000000,0.000000,0.000000,24.770000,0.000000
33.999999,0.000000,-0.017336,-0.000000,0.000000,0.000000,0.000000,0.000000,24.760000,0.000000
34.999999,0.000000,-0.020011,-0.000000,0.000000,0.000000,0.000000,0.000000,24.750000,0.000000
35.999999,0.000000,-0.022653,-0.000000,0.000000,0.000000,0.000000,0.000000,24.740000,0.000000
36.999999,0.000000,-0.025247,-0.000000,0.000000,0.000000,0.000000,0.000000,24.730000,0.000000
37.999999,0.000000,-0.027789,-0.000000,0.000000,0.000000,0.000000,0.000000,24.720000,0.000000
38.999999,0.000000,-0.030279,0.000000,0.000000,0.000000,0.000000,0.000000,24.710000,0.000000
39.999999,0.000000,-0.032722,0.000000,0.000000,0.000000,0.000000,0.000000,24.700000,0.000000
40.999999,0.000000,-0.035120,0.000000,0.000000,0.000000,0.000000,0.000000,24.690000,0.000000
41.999999,0.000000,-0.037478,0.000000,0.000000,0.000000,0.000000,0.000000,24.680000,0.000000
42.999999,0.000000,-0.039799,0.000000,0.000000,0.000000,0.000000,0.000000,24.670000,0.000000
43.999999,0.000000,-0.042086,0.000000,0.000000,0.000000,0.000000,0.000000,24.660000,0.000000
44.999999,-0.000000,-0.044342,-0.000000,0.000000,0.000000,0.000000,0.000000,24.650000,0.000000
45.999999,-0.000000,-0.046570,-0.000000,0.000000,0.000000,0.000000,0.000000,24.640000,0.000000
46.999999,-0.000000,-0.048770,0.000000,0.000000,0.000000,0.000000,0.000000,24.630000,0.000000
47.999999,0.000000,-0.051428,0.000000,0.000000,0.000000,0.000000,0.000000,24.620000,0.000000
48.999999,0.000000,-0.054786,-0.000000,0.000000,0.000000,0.000000,0.000000,24.610000,0.000000
49.999999,0.000000,-0.058072,-0.000000,0.000000,0.000000,0.000000,0.000000,24.600000,0.000000
50.999999,0.000000,-0.061255,-0.000000,0.000000,0.000000,0.000000,0.000000,24.590000,0.000000
51.999999,0.000000,-0.064351,0.000000,0.000000,0.000000,0.000000,0.000000,24.580000,0.000000
52.999999,0.000000,-0.067377,0.000000,0.000000,0.000000,0.000000,0.000000,24.570000,0.000000
53.999999,0.000000,-0.070345,-0.000000,0.000000,0.000000,0.000000,0.000000,24.560000,0.000000
54.999999,0.000000,-0.073263,-0.000000,0.000000,0.000000,0.000000,0.000000,24.550000,0.000000
55.999999,0.000000,-0.076139,0.000000,0.000000,0.000000,0.000000,0.000000,24.540000,0.000000
56.999999,0.000000,-0.078976,0.000000,0.000000,0.000000,0.000000,0.000000,24.530000,0.000000
