% TRY3: sc black foot from soil surface 1cm down (in 10000ms), then 5mm up (in 5000ms) then down 2.5cm (in 25000ms), then up 5mm (in 5000ms), and finally up 4cm (in 1000ms)
% Created on:04.05.2011 - 14:12
% Control Thread cycle time: 40 msec
% log cycle time: 40 msec
% Joint angles in [rad], force in [N], and torque in [Nm]

% msec; Joint0; Joint1; Joint2; Joint3; Joint4; Joint5; Joint6; Fx; Fy; Fz; Tx; Ty; Tz; FTStatus; RTDSeq; FTSeq; Marker; currentPointID; X; Y; Z; Rx; Ry; Rz
859; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57086; 3.402596; -2.726578; 0.980379; -0.081279; -0.370319; 0.006003; 0; 1; 7101711; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141801; 89.9979
891; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57086; 3.402577; -2.731484; 0.980334; -0.081338; -0.370319; 0.006135; 0; 1; 7102005; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141801; 89.9979
937; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57086; 3.398381; -2.729028; 0.972674; -0.081529; -0.370139; 0.005872; 0; 1; 7102292; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141801; 89.9979
984; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57086; 3.398415; -2.733902; 0.972758; -0.081368; -0.370523; 0.006003; 0; 1; 7102580; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141801; 89.9979
1031; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57086; 3.394126; -2.731444; 0.980319; -0.081337; -0.370217; 0.006136; 0; 1; 7102866; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141801; 89.9979
1062; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57086; 3.402574; -2.731501; 0.972617; -0.081559; -0.370191; 0.006134; 0; 1; 7103153; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141801; 89.9979
1094; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57086; 3.394143; -2.726557; 0.972647; -0.081500; -0.370088; 0.006005; 0; 1; 7103441; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141801; 89.9979
1141; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57086; 3.402586; -2.726548; 0.965131; -0.081282; -0.370066; 0.006004; 0; 1; 7103727; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141801; 89.9979
1172; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57087; 3.398355; -2.724125; 0.972635; -0.081471; -0.370139; 0.006136; 0; 1; 7104015; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141807; 89.9973
1219; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57087; 3.398357; -2.733867; 0.972814; -0.081148; -0.370145; 0.006004; 0; 1; 7104303; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141807; 89.9973
1266; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57087; 3.398357; -2.733867; 0.972814; -0.081148; -0.370145; 0.006004; 0; 1; 7104594; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141807; 89.9973
1297; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57087; 3.398365; -2.733915; 0.980345; -0.081366; -0.370269; 0.006004; 0; 1; 7104881; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141807; 89.9973
1344; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57087; 3.398362; -2.733933; 0.972629; -0.081588; -0.370140; 0.006003; 0; 1; 7105168; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141807; 89.9973
1375; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57087; 3.394176; -2.731431; 0.972731; -0.081339; -0.370472; 0.006136; 0; 1; 7105455; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141807; 89.9973
1422; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57087; 3.402574; -2.731501; 0.972617; -0.081559; -0.370191; 0.006134; 0; 1; 7105742; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141807; 89.9973
1469; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57087; 3.398336; -2.729030; 0.972590; -0.081530; -0.370140; 0.006267; 0; 1; 7106030; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141807; 89.9973
1500; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57087; 3.398357; -2.733867; 0.972814; -0.081148; -0.370145; 0.006004; 0; 1; 7106316; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141807; 89.9973
1531; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57087; 3.398407; -2.733854; 0.965227; -0.081150; -0.370399; 0.006004; 0; 1; 7106603; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141807; 89.9973
1594; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57088; 3.398407; -2.733854; 0.965227; -0.081150; -0.370399; 0.006004; 0; 1; 7106890; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141813; 89.9967
1625; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57088; 3.398415; -2.733902; 0.972758; -0.081368; -0.370523; 0.006003; 0; 1; 7107177; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141813; 89.9967
1656; 0.000205298; 0.349281; -0.000190826; 1.22216; -0.000182121; 1.57114; 1.57088; 3.394176; -2.731431; 0.972731; -0.081339; -0.370472; 0.006136; 0; 1; 7107465; 0; -1; -388.578; 0.012267; 436.316; 179.943; -0.0141813; 89.9967
1797; 0.000205298; 0.349286; -0.000190826; 1.22215; -0.000182121; 1.57126; 1.57088; 3.402624; -2.731488; 0.965030; -0.081561; -0.370445; 0.006134; 0; 1; 7107752; 0; -1; -388.561; 0.0122671; 436.318; 179.937; -0.0141818; 89.9967
1797; 0.000205298; 0.349286; -0.000190826; 1.22215; -0.000182121; 1.57126; 1.57088; 3.394124; -2.731462; 0.972602; -0.081559; -0.370089; 0.006136; 0; 1; 7108040; 0; -1; -388.561; 0.0122671; 436.318; 179.937; -0.0141818; 89.9967
1797; 0.000205298; 0.349286; -0.000190826; 1.22215; -0.000182121; 1.57126; 1.57088; 3.385802; -2.726522; 0.972705; -0.081500; -0.370748; 0.006006; 0; 1; 7108328; 0; -1; -388.561; 0.0122671; 436.318; 179.937; -0.0141818; 89.9967
1828; 0.000205298; 0.349313; -0.000190826; 1.22209; -0.000182121; 1.57284; 1.57088; 3.348039; -2.723938; 0.972707; -0.081691; -0.372190; 0.006144; 0; 1; 7108613; 0; -1; -388.303; 0.012272; 436.324; 179.848; -0.0141895; 89.9967
1859; 0.000205298; 0.349323; -0.000190826; 1.22189; -0.000182121; 1.5745; 1.57088; 3.348039; -2.723938; 0.972707; -0.081691; -0.372190; 0.006144; 0; 1; 7108613; 0; -1; -388.054; 0.0122744; 436.376; 179.764; -0.0141967; 89.9967
