% %  Exp3, Try1: sc black foot from soils surface 2cm down then forward (in x direction) 15cm then 10cm up
% Created on:05.04.2011 - 11:50
% Control Thread cycle time: 40 msec
% log cycle time: 40 msec
% Joint angles in [rad], force in [N], and torque in [Nm]

% msec; Joint0; Joint1; Joint2; Joint3; Joint4; Joint5; Joint6; Fx; Fy; Fz; Tx; Ty; Tz; FTStatus; RTDSeq; FTSeq; Marker; currentPointID; X; Y; Z; Rx; Ry; Rz
890; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.151526; -3.209140; -2.597791; 0.075215; -0.003384; 0.004347; 0; 1; 61942110; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
953; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.155686; -3.211540; -2.597651; 0.075406; -0.003717; 0.004217; 0; 1; 61942397; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
984; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.155678; -3.211589; -2.590119; 0.075187; -0.003841; 0.004216; 0; 1; 61942684; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
1015; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.155707; -3.216464; -2.605412; 0.075125; -0.003589; 0.004347; 0; 1; 61942971; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
1062; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.155686; -3.211540; -2.597651; 0.075406; -0.003717; 0.004217; 0; 1; 61943257; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
1124; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.155678; -3.211589; -2.590119; 0.075187; -0.003841; 0.004216; 0; 1; 61943545; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
1140; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.151526; -3.209140; -2.597791; 0.075215; -0.003384; 0.004347; 0; 1; 61943832; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
1171; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.155728; -3.211602; -2.582532; 0.075189; -0.003586; 0.004216; 0; 1; 61944120; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
1249; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.155678; -3.211589; -2.590119; 0.075187; -0.003841; 0.004216; 0; 1; 61944405; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
1265; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.151526; -3.209140; -2.597791; 0.075215; -0.003384; 0.004347; 0; 1; 61944693; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
1296; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.155678; -3.211589; -2.590119; 0.075187; -0.003841; 0.004216; 0; 1; 61944981; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
1328; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.155678; -3.211589; -2.590119; 0.075187; -0.003841; 0.004216; 0; 1; 61945266; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
1374; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.151524; -3.209122; -2.590075; 0.075437; -0.003513; 0.004348; 0; 1; 61945553; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
1421; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.151524; -3.209122; -2.590075; 0.075437; -0.003513; 0.004348; 0; 1; 61945553; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
1499; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.159917; -3.209118; -2.590146; 0.075216; -0.003789; 0.004349; 0; 1; 61945848; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
1499; -0.000110545; 0.349128; -0.000190826; 1.22158; 0.000170739; 1.57056; 1.57147; -0.151526; -3.209140; -2.597791; 0.075215; -0.003384; 0.004347; 0; 1; 61946133; 0; -1; -388.759; 0.0744564; 436.538; -179.981; 0.00605521; 89.945
